Time_ms;Temperature_C
0;42,19
100;42,14
200;41,91
300;42,65
400;42,63
500;43,15
600;43,65
700;43,01
800;43,52
900;43,2
1000;43,31
1100;43,69
1200;43,83
1300;43,75
1400;44,25
1500;44,04
1600;44,31
1700;45,28
1800;45,35
1900;45,16
2000;45,47
2100;45,25
2200;45,51
2300;45,64
2400;45,94
2500;46,05
2600;45,81
2700;46,54
2800;46,01
2900;46,4
3000;45,91
3100;46,36
3200;47,05
3300;47,08
3400;46,19
3500;46,69
3600;47,04
3700;47,01
3800;47,57
3900;47,54
4000;46,82
4100;47,69
4200;47,85
4300;48,3
4400;47,83
4500;48,26
4600;47,24
4700;48,01
4800;48,05
4900;48,66
5000;48,53
5100;48,6
5200;49,09
5300;48,89
5400;48,67
5500;49,33
5600;49,3
5700;49,04
5800;49,39
5900;49,13
6000;50,01
6100;50,0
6200;49,96
6300;50,14
6400;50,18
6500;50,47
6600;50,75
6700;50,64
6800;51,22
6900;50,73
7000;50,66
7100;51,92
7200;51,6
7300;51,35
7400;51,56
7500;51,93
7600;52,07
7700;51,64
7800;51,82
7900;52,0
8000;52,43
8100;52,76
8200;52,95
8300;52,47
8400;53,06
8500;53,45
8600;53,16
8700;52,41
8800;53,19
8900;53,48
9000;53,75
9100;53,6
9200;53,73
9300;54,38
9400;53,47
9500;53,77
9600;53,31
9700;54,53
9800;54,71
9900;55,19
10000;54,5
10100;54,21
10200;53,93
10300;55,14
10400;54,8
10500;54,85
10600;54,26
10700;54,19
10800;54,54
10900;55,47
11000;55,69
11100;54,87
11200;55,48
11300;55,02
11400;56,02
11500;55,62
11600;56,03
11700;55,14
11800;56,17
11900;56,96
12000;56,18
12100;56,38
12200;56,55
12300;57,48
12400;56,53
12500;57,86
12600;56,97
12700;56,38
12800;56,63
12900;57,68
13000;57,2
13100;57,85
13200;57,82
13300;58,34
13400;58,35
13500;57,67
13600;58,79
13700;58,23
13800;58,45
13900;58,34
14000;59,1
14100;58,69
14200;58,22
14300;60,7
14400;60,15
14500;58,94
14600;58,54
14700;59,79
14800;59,39
14900;59,56
15000;60,66
15100;60,19
15200;60,33
15300;59,95
15400;60,09
15500;59,41
15600;60,53
15700;60,07
15800;60,62
15900;61,05
16000;60,1
16100;61,08
16200;60,03
16300;60,68
16400;60,85
16500;61,27
16600;60,45
16700;61,43
16800;62,48
16900;61,74
17000;60,94
17100;61,18
17200;60,46
17300;61,26
17400;61,9
17500;61,07
17600;61,53
17700;61,82
17800;61,24
17900;61,54
18000;61,47
18100;62,19
18200;62,26
18300;62,1
18400;62,36
18500;62,87
18600;61,97
18700;61,1
18800;61,3
18900;62,57
19000;61,86
19100;61,74
19200;62,61
19300;62,93
19400;61,76
19500;63,02
19600;62,47
19700;62,82
19800;62,47
19900;63,07
20000;63,56
20100;63,34
20200;63,47
20300;63,5
20400;63,95
20500;63,65
20600;64,83
20700;62,78
20800;63,38
20900;64,45
21000;63,56
21100;63,21
21200;64,27
21300;63,87
21400;64,33
21500;63,57
21600;63,94
21700;63,84
21800;65,47
21900;64,95
22000;64,95
22100;65,41
22200;65,36
22300;65,4
22400;65,0
22500;66,04
22600;64,68
22700;66,74
22800;66,07
22900;64,94
23000;65,59
23100;65,72
23200;66,01
23300;66,23
23400;65,31
23500;65,83
23600;66,72
23700;65,94
23800;66,15
23900;66,43
24000;66,31
24100;66,82
24200;65,45
24300;67,35
24400;67,86
24500;66,78
24600;67,55
24700;66,47
24800;67,42
24900;67,04
25000;67,21
25100;68,08
25200;67,52
25300;67,59
25400;67,28
25500;67,2
25600;68,65
25700;67,22
25800;68,21
25900;68,01
26000;69,17
26100;68,8
26200;68,8
26300;69,86
26400;69,86
26500;70,25
26600;69,36
26700;70,26
26800;69,89
26900;70,15
27000;69,08
27100;69,67
27200;69,11
27300;70,55
27400;70,86
27500;70,68
27600;70,52
27700;71,19
27800;69,8
27900;71,45
28000;71,26
28100;70,97
28200;71,67
28300;72,27
28400;71,67
28500;71,25
28600;72,34
28700;72,69
28800;71,39
28900;71,38
29000;71,89
29100;72,35
29200;72,12
29300;71,68
29400;71,69
29500;72,27
29600;72,3
29700;72,79
29800;71,34
29900;72,83
30000;72,35
30100;73,77
30200;70,82
30300;71,37
30400;72,92
30500;70,77
30600;73,23
30700;71,33
30800;71,6
30900;71,49
31000;73,39
31100;73,28
31200;73,12
31300;74,76
31400;71,49
31500;71,89
31600;72,09
31700;72,57
31800;72,1
31900;74,54
32000;72,37
32100;72,67
32200;71,73
32300;73,07
32400;72,21
32500;72,27
32600;73,11
32700;72,53
32800;71,68
32900;73,83
33000;73,76
33100;73,48
33200;72,88
33300;73,22
33400;73,44
33500;74,05
33600;73,57
33700;73,51
33800;73,77
33900;73,15
34000;73,52
34100;72,51
34200;74,4
34300;74,46
34400;74,29
34500;73,17
34600;74,6
34700;73,56
34800;75,77
34900;73,4
35000;72,95
35100;74,45
35200;76,45
35300;75,07
35400;74,63
35500;76,08
35600;75,58
35700;77,07
35800;73,76
35900;73,74
36000;75,05
36100;74,11
36200;75,37
36300;74,88
36400;77,08
36500;74,81
36600;74,04
36700;74,92
36800;75,25
36900;74,65
37000;74,05
37100;76,08
37200;74,87
37300;75,58
37400;74,74
37500;77,09
37600;75,38
37700;75,92
37800;75,61
37900;76,81
38000;76,65
38100;75,99
38200;75,65
38300;76,46
38400;76,72
38500;76,43
38600;76,9
38700;77,3
38800;76,18
38900;76,6
39000;76,89
39100;75,36
39200;76,44
39300;77,08
39400;78,18
39500;79,8
39600;75,82
39700;78,58
39800;77,51
39900;77,54
40000;77,03
40100;76,62
40200;78,6
40300;78,06
40400;76,37
40500;78,28
40600;76,09
40700;78,3
40800;79,47
40900;78,11
41000;76,89
41100;79,13
41200;78,68
41300;78,13
41400;78,62
41500;78,72
41600;78,35
41700;79,02
41800;78,2
41900;78,8
42000;78,75
42100;79,11
42200;79,96
42300;79,1
42400;78,17
42500;78,39
42600;79,56
42700;77,89
42800;77,88
42900;79,66
43000;78,0
43100;78,06
43200;77,71
43300;78,9
43400;78,52
43500;80,0
43600;78,53
43700;78,93
43800;80,0
43900;79,02
44000;80,0
44100;77,45
44200;79,77
44300;79,09
44400;78,38
44500;79,38
44600;77,62
44700;77,33
44800;78,84
44900;79,01
45000;78,7
45100;79,04
45200;78,0
45300;77,11
45400;78,15
45500;77,35
45600;76,59
45700;76,84
45800;76,12
45900;76,58
46000;76,3
46100;76,17
46200;76,58
46300;75,73
46400;75,01
46500;76,57
46600;75,45
46700;75,05
46800;75,02
46900;74,23
47000;75,99
47100;73,74
47200;74,47
47300;73,88
47400;74,37
47500;73,21
47600;74,29
47700;73,99
47800;73,64
47900;72,77
48000;72,54
48100;72,71
48200;72,99
48300;72,74
48400;72,65
48500;72,56
48600;71,88
48700;71,89
48800;72,27
48900;71,12
49000;71,28
49100;71,13
49200;71,46
49300;70,42
49400;71,06
49500;70,03
49600;70,05
49700;70,29
49800;69,27
49900;70,34
50000;69,15
50100;69,17
50200;69,35
50300;68,88
50400;68,87
50500;68,76
50600;69,27
50700;68,24
50800;68,42
50900;67,31
51000;67,61
51100;67,37
51200;66,98
51300;67,23
51400;66,92
51500;66,95
51600;65,69
51700;66,35
51800;65,95
